,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
46,0 days 00:27:31.230000,HAM,44,0 days 00:02:04.686000,6.0,2.0,,0 days 00:27:29.576000,29.786,35.664,59.236,0 days 00:25:56.330000,0 days 00:26:31.994000,0 days 00:27:31.230000,212.0,188.0,,189.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:25:26.544000,2025-03-21 07:42:58.864,12,,False,,False,False,124.686,124.686
47,0 days 00:34:15.011000,HAM,44,,7.0,3.0,0 days 00:32:20.687000,,,32.986,47.522,,0 days 00:33:27.524000,0 days 00:34:15.050000,250.0,250.0,268.0,306.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:27:31.230000,2025-03-21 07:45:03.550,21,,False,,False,False,,
48,0 days 00:35:47.136000,HAM,44,0 days 00:01:32.125000,8.0,3.0,,,24.448,27.864,39.813,0 days 00:34:39.459000,0 days 00:35:07.323000,0 days 00:35:47.136000,281.0,276.0,266.0,334.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:15.011000,2025-03-21 07:51:47.331,1,,False,,False,True,92.125,92.125
49,0 days 00:37:53.621000,HAM,44,0 days 00:02:06.485000,9.0,3.0,,,35.523,39.258,51.704,0 days 00:36:22.659000,0 days 00:37:01.917000,0 days 00:37:53.621000,214.0,220.0,137.0,282.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:35:47.136000,2025-03-21 07:53:19.456,1,,False,,False,True,126.485,126.48500000000001
50,0 days 00:40:02.975000,HAM,44,0 days 00:02:09.354000,10.0,3.0,,,38.317,35.687,55.35,0 days 00:38:31.938000,0 days 00:39:07.625000,0 days 00:40:02.975000,210.0,237.0,267.0,236.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:37:53.621000,2025-03-21 07:55:25.941,1,,False,,False,True,129.354,129.35399999999998
51,0 days 00:41:34.359000,HAM,44,0 days 00:01:31.384000,11.0,3.0,,,24.355,27.383,39.646,0 days 00:40:27.330000,0 days 00:40:54.713000,0 days 00:41:34.359000,283.0,277.0,267.0,335.0,True,MEDIUM,5.0,True,Ferrari,0 days 00:40:02.975000,2025-03-21 07:57:35.295,1,,False,,False,True,91.384,91.384
52,0 days 00:43:37.415000,HAM,44,0 days 00:02:03.056000,12.0,3.0,,0 days 00:43:35.571000,32.224,36.115,54.717,0 days 00:42:06.583000,0 days 00:42:42.698000,0 days 00:43:37.415000,189.0,185.0,,292.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:41:34.359000,2025-03-21 07:59:06.679,1,,False,,False,False,123.056,123.056
53,0 days 00:53:59.988000,HAM,44,,13.0,4.0,0 days 00:52:02.764000,,,36.784,50.615,,0 days 00:53:09.543000,0 days 00:53:59.988000,246.0,251.0,268.0,301.0,False,SOFT,1.0,True,Ferrari,0 days 00:43:37.415000,2025-03-21 08:01:09.735,12,,False,,False,False,,
54,0 days 00:55:30.837000,HAM,44,0 days 00:01:30.849000,14.0,4.0,,,24.261,27.249,39.339,0 days 00:54:24.249000,0 days 00:54:51.498000,0 days 00:55:30.837000,283.0,278.0,270.0,335.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:59.988000,2025-03-21 08:11:32.308,1,,False,,False,True,90.849,90.84899999999999
55,0 days 00:57:46.118000,HAM,44,0 days 00:02:15.281000,15.0,4.0,,0 days 00:57:41.512000,30.938,36.019,68.324,0 days 00:56:01.775000,0 days 00:56:37.794000,0 days 00:57:46.118000,219.0,158.0,,189.0,False,SOFT,3.0,True,Ferrari,0 days 00:55:30.837000,2025-03-21 08:13:03.157,1,,False,,False,False,135.281,135.281
56,0 days 00:14:29.283000,RUS,63,,1.0,1.0,0 days 00:12:37.395000,,,31.439,49.961,,0 days 00:13:39.351000,0 days 00:14:29.339000,273.0,269.0,260.0,331.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:12:37.395000,2025-03-21 07:30:09.715,1,,False,,False,False,,
57,0 days 00:16:28.080000,RUS,63,0 days 00:01:58.797000,2.0,1.0,,,28.751,35.028,55.018,0 days 00:14:58.034000,0 days 00:15:33.062000,0 days 00:16:28.080000,256.0,261.0,271.0,153.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:14:29.283000,2025-03-21 07:32:01.603,1,,False,,False,True,118.797,118.797
58,0 days 00:18:32.218000,RUS,63,0 days 00:02:04.138000,3.0,1.0,,,28.475,41.875,53.788,0 days 00:16:56.555000,0 days 00:17:38.430000,0 days 00:18:32.218000,191.0,225.0,272.0,168.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:16:28.080000,2025-03-21 07:34:00.400,1,,False,,False,True,124.138,124.13799999999999
59,0 days 00:20:04.508000,RUS,63,0 days 00:01:32.290000,4.0,1.0,,,24.711,27.771,39.808,0 days 00:18:56.929000,0 days 00:19:24.700000,0 days 00:20:04.508000,280.0,277.0,269.0,334.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:18:32.218000,2025-03-21 07:36:04.538,1,,False,,False,True,92.29,92.28999999999999
60,0 days 00:22:10.488000,RUS,63,0 days 00:02:05.980000,5.0,1.0,,,35.947,37.086,52.947,0 days 00:20:40.455000,0 days 00:21:17.541000,0 days 00:22:10.488000,251.0,245.0,222.0,259.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:20:04.508000,2025-03-21 07:37:36.828,1,,False,,False,True,125.98,125.98
61,0 days 00:24:10.982000,RUS,63,0 days 00:02:00.494000,6.0,1.0,,,31.473,38.371,50.65,0 days 00:22:41.961000,0 days 00:23:20.332000,0 days 00:24:10.982000,226.0,241.0,273.0,269.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:22:10.488000,2025-03-21 07:39:42.808,1,,False,,False,True,120.494,120.494
62,0 days 00:25:42.934000,RUS,63,0 days 00:01:31.952000,7.0,1.0,,,24.605,27.622,39.725,0 days 00:24:35.587000,0 days 00:25:03.209000,0 days 00:25:42.934000,280.0,276.0,264.0,337.0,True,MEDIUM,7.0,True,Mercedes,0 days 00:24:10.982000,2025-03-21 07:41:43.302,1,,False,,False,True,91.952,91.952
63,0 days 00:27:43.079000,RUS,63,0 days 00:02:00.145000,8.0,1.0,,0 days 00:27:41.247000,31.011,34.982,54.152,0 days 00:26:13.945000,0 days 00:26:48.927000,0 days 00:27:43.079000,250.0,243.0,,325.0,False,MEDIUM,8.0,True,Mercedes,0 days 00:25:42.934000,2025-03-21 07:43:15.254,12,,False,,False,False,120.145,120.145
64,0 days 00:33:33.241000,RUS,63,,9.0,2.0,0 days 00:31:37.426000,,,34.343,48.478,,0 days 00:32:44.883000,0 days 00:33:33.367000,258.0,257.0,249.0,308.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:27:43.079000,2025-03-21 07:45:15.399,21,,False,,False,False,,
65,0 days 00:35:21.811000,RUS,63,0 days 00:01:48.570000,10.0,2.0,,,28.287,34.314,45.969,0 days 00:34:01.528000,0 days 00:34:35.842000,0 days 00:35:21.811000,229.0,259.0,272.0,208.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:33:33.241000,2025-03-21 07:51:05.561,1,,False,,False,True,108.57,108.57
66,0 days 00:36:53.942000,RUS,63,0 days 00:01:32.131000,11.0,2.0,,,24.572,27.821,39.738,0 days 00:35:46.383000,0 days 00:36:14.204000,0 days 00:36:53.942000,281.0,276.0,267.0,337.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:35:21.811000,2025-03-21 07:52:54.131,1,,False,,False,True,92.131,92.131
67,0 days 00:39:02.011000,RUS,63,0 days 00:02:08.069000,12.0,2.0,,,35.124,38.469,54.476,0 days 00:37:29.066000,0 days 00:38:07.535000,0 days 00:39:02.011000,228.0,239.0,90.0,259.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:36:53.942000,2025-03-21 07:54:26.262,1,,False,,False,True,128.069,128.06900000000002
68,0 days 00:41:12.878000,RUS,63,0 days 00:02:10.867000,13.0,2.0,,,41.7,39.353,49.814,0 days 00:39:43.711000,0 days 00:40:23.064000,0 days 00:41:12.878000,237.0,236.0,271.0,263.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:39:02.011000,2025-03-21 07:56:34.331,1,,False,,False,True,130.867,130.867
69,0 days 00:42:44.224000,RUS,63,0 days 00:01:31.346000,14.0,2.0,,,24.485,27.403,39.458,0 days 00:41:37.363000,0 days 00:42:04.766000,0 days 00:42:44.224000,282.0,278.0,271.0,334.0,True,MEDIUM,6.0,True,Mercedes,0 days 00:41:12.878000,2025-03-21 07:58:45.198,1,,False,,False,True,91.346,91.346
70,0 days 00:44:44.454000,RUS,63,0 days 00:02:00.230000,15.0,2.0,,0 days 00:44:42.701000,30.468,33.114,56.648,0 days 00:43:14.692000,0 days 00:43:47.806000,0 days 00:44:44.454000,235.0,246.0,,265.0,False,MEDIUM,7.0,True,Mercedes,0 days 00:42:44.224000,2025-03-21 08:00:16.544,12,,False,,False,False,120.23,120.22999999999999
71,0 days 00:50:59.491000,RUS,63,,16.0,3.0,0 days 00:49:15.622000,,,30.529,46.496,,0 days 00:50:13.084000,0 days 00:50:59.564000,260.0,261.0,272.0,136.0,False,SOFT,1.0,True,Mercedes,0 days 00:44:44.454000,2025-03-21 08:02:16.774,21,,False,,False,False,,
72,0 days 00:52:30.660000,RUS,63,0 days 00:01:31.169000,17.0,3.0,,,24.302,27.425,39.442,0 days 00:51:23.793000,0 days 00:51:51.218000,0 days 00:52:30.660000,282.0,277.0,272.0,336.0,True,SOFT,2.0,True,Mercedes,0 days 00:50:59.491000,2025-03-21 08:08:31.811,1,,False,,False,True,91.169,91.16900000000001
73,0 days 00:54:40.639000,RUS,63,0 days 00:02:09.979000,18.0,3.0,,0 days 00:54:38.899000,34.461,37.688,57.83,0 days 00:53:05.121000,0 days 00:53:42.809000,0 days 00:54:40.639000,209.0,240.0,,259.0,False,SOFT,3.0,True,Mercedes,0 days 00:52:30.660000,2025-03-21 08:10:02.980,1,,False,,False,False,129.979,129.97899999999998
74,0 days 00:17:32.296000,HUL,27,,1.0,1.0,0 days 00:15:32.204000,,,35.11,55.436,,0 days 00:16:36.910000,0 days 00:17:32.296000,255.0,249.0,267.0,292.0,False,MEDIUM,1.0,True,Kick Sauber,0 days 00:15:32.204000,2025-03-21 07:33:04.524,1,,False,,False,False,,
75,0 days 00:19:04.971000,HUL,27,0 days 00:01:32.675000,2.0,1.0,,,24.606,27.906,40.163,0 days 00:17:56.902000,0 days 00:18:24.808000,0 days 00:19:04.971000,281.0,276.0,270.0,332.0,True,MEDIUM,2.0,True,Kick Sauber,0 days 00:17:32.296000,2025-03-21 07:35:04.616,1,,False,,False,True,92.675,92.675
