,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
134,0 days 00:32:38.421000,LEC,16,0 days 00:01:29.107000,2.0,1.0,,,31.337,40.263,17.507,0 days 00:31:40.651000,0 days 00:32:20.914000,0 days 00:32:38.421000,287.0,300.0,270.0,295.0,True,SOFT,2.0,True,Ferrari,0 days 00:31:09.314000,2025-04-05 02:46:10.340,1,,False,,False,True,89.107,89.107
135,0 days 00:35:11.978000,LEC,16,,3.0,1.0,,0 days 00:35:10.443000,60.955,61.808,30.711,0 days 00:33:39.600000,0 days 00:34:41.304000,0 days 00:35:11.978000,144.0,207.0,,171.0,False,SOFT,3.0,True,Ferrari,0 days 00:32:38.421000,2025-04-05 02:47:39.447,1,,False,,False,False,,153.474
136,0 days 00:37:44.696000,LEC,16,,4.0,2.0,0 days 00:35:39.369000,,84.37,47.054,21.385,0 days 00:36:36.401000,0 days 00:37:23.433000,0 days 00:37:44.702000,253.0,272.0,271.0,273.0,False,SOFT,4.0,False,Ferrari,0 days 00:35:11.978000,2025-04-05 02:50:13.004,1,,False,,False,False,,152.809
137,0 days 00:39:13.479000,LEC,16,0 days 00:01:28.783000,5.0,2.0,,,30.875,40.292,17.616,0 days 00:38:15.571000,0 days 00:38:55.863000,0 days 00:39:13.479000,290.0,299.0,270.0,296.0,True,SOFT,5.0,False,Ferrari,0 days 00:37:44.696000,2025-04-05 02:52:45.722,1,,False,,False,True,88.783,88.783
138,0 days 00:41:27.398000,LEC,16,0 days 00:02:13.919000,6.0,2.0,,0 days 00:41:26.007000,45.239,56.381,32.299,0 days 00:39:58.718000,0 days 00:40:55.099000,0 days 00:41:27.398000,221.0,199.0,,199.0,False,SOFT,6.0,False,Ferrari,0 days 00:39:13.479000,2025-04-05 02:54:14.505,1,,False,,False,False,133.919,133.919
139,0 days 00:50:39.661000,LEC,16,,7.0,3.0,0 days 00:48:51.276000,,,53.318,19.872,,0 days 00:50:19.996000,0 days 00:50:39.761000,229.0,282.0,272.0,274.0,False,SOFT,1.0,False,Ferrari,0 days 00:41:27.398000,2025-04-05 02:56:28.424,1,,False,,False,False,,
140,0 days 00:52:08.075000,LEC,16,0 days 00:01:28.414000,8.0,3.0,,,30.632,40.215,17.567,0 days 00:51:10.293000,0 days 00:51:50.508000,0 days 00:52:08.075000,290.0,300.0,270.0,300.0,True,SOFT,2.0,False,Ferrari,0 days 00:50:39.661000,2025-04-05 03:05:40.687,1,,False,,False,True,88.414,88.41400000000002
141,0 days 00:53:55.239000,LEC,16,0 days 00:01:47.164000,9.0,3.0,,0 days 00:53:53.997000,39.437,46.19,21.537,0 days 00:52:47.512000,0 days 00:53:33.702000,0 days 00:53:55.239000,239.0,269.0,,272.0,False,SOFT,3.0,False,Ferrari,0 days 00:52:08.075000,2025-04-05 03:07:09.101,1,,False,,False,False,107.164,107.16399999999999
142,0 days 01:03:52.393000,LEC,16,,10.0,4.0,0 days 01:02:07.845000,,,43.264,18.714,,0 days 01:03:33.908000,0 days 01:03:52.393000,263.0,277.0,273.0,275.0,False,SOFT,1.0,True,Ferrari,0 days 00:53:55.239000,2025-04-05 03:08:56.265,1,,False,,False,False,,
143,0 days 01:05:51.238000,LEC,16,0 days 00:01:58.845000,11.0,4.0,,,37.142,59.432,22.271,0 days 01:04:29.535000,0 days 01:05:28.967000,0 days 01:05:51.238000,140.0,211.0,272.0,218.0,False,SOFT,2.0,True,Ferrari,0 days 01:03:52.393000,2025-04-05 03:18:53.419,1,,False,,False,True,118.845,118.84500000000001
144,0 days 01:08:19.304000,LEC,16,0 days 00:02:28.066000,12.0,4.0,,,40.77,81.681,25.615,0 days 01:06:32.008000,0 days 01:07:53.689000,0 days 01:08:19.304000,164.0,196.0,268.0,179.0,False,SOFT,3.0,True,Ferrari,0 days 01:05:51.238000,2025-04-05 03:20:52.264,1,,False,,False,True,148.066,148.066
145,0 days 00:17:51.293000,STR,18,,1.0,1.0,0 days 00:15:37.339000,0 days 00:17:49.965000,,51.372,26.003,,0 days 00:17:25.512000,0 days 00:17:51.293000,242.0,286.0,,225.0,False,MEDIUM,1.0,True,Aston Martin,0 days 00:15:37.339000,2025-04-05 02:30:38.365,1,,False,,False,False,,
146,0 days 00:20:19.354000,STR,18,0 days 00:02:28.061000,2.0,2.0,0 days 00:18:15.450000,0 days 00:20:17.963000,68.496,52.941,26.624,0 days 00:18:59.789000,0 days 00:19:52.730000,0 days 00:20:19.354000,227.0,286.0,,193.0,False,HARD,1.0,True,Aston Martin,0 days 00:17:51.293000,2025-04-05 02:32:52.319,1,,False,,False,False,148.061,148.061
147,0 days 00:30:59.696000,STR,18,,3.0,3.0,0 days 00:29:04.487000,,,48.857,19.94,,0 days 00:30:39.955000,0 days 00:30:59.830000,241.0,285.0,266.0,243.0,False,MEDIUM,1.0,True,Aston Martin,0 days 00:29:04.487000,2025-04-05 02:44:05.513,1,,False,,False,False,,
148,0 days 00:32:31.002000,STR,18,0 days 00:01:31.306000,4.0,3.0,,,31.97,41.4,17.936,0 days 00:31:31.666000,0 days 00:32:13.066000,0 days 00:32:31.002000,283.0,297.0,267.0,295.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:30:59.696000,2025-04-05 02:46:00.722,1,,False,,False,True,91.306,91.30600000000001
149,0 days 00:34:57.933000,STR,18,0 days 00:02:26.931000,5.0,3.0,,,61.399,63.64,21.892,0 days 00:33:32.401000,0 days 00:34:36.041000,0 days 00:34:57.933000,72.0,269.0,268.0,212.0,False,MEDIUM,3.0,True,Aston Martin,0 days 00:32:31.002000,2025-04-05 02:47:32.028,1,,False,,False,True,146.931,146.931
150,0 days 00:36:28.404000,STR,18,0 days 00:01:30.471000,6.0,3.0,,,31.672,40.934,17.865,0 days 00:35:29.605000,0 days 00:36:10.539000,0 days 00:36:28.404000,284.0,297.0,267.0,293.0,True,MEDIUM,4.0,True,Aston Martin,0 days 00:34:57.933000,2025-04-05 02:49:58.959,1,,False,,False,True,90.471,90.47099999999999
151,0 days 00:38:50.710000,STR,18,0 days 00:02:22.306000,7.0,3.0,,0 days 00:38:49.396000,55.431,58.698,28.177,0 days 00:37:23.835000,0 days 00:38:22.533000,0 days 00:38:50.710000,210.0,265.0,,197.0,False,MEDIUM,5.0,True,Aston Martin,0 days 00:36:28.404000,2025-04-05 02:51:29.430,1,,False,,False,False,142.306,142.30599999999998
152,0 days 00:46:33.391000,STR,18,,8.0,4.0,0 days 00:44:26.880000,,,48.551,30.431,,0 days 00:46:03.103000,0 days 00:46:33.509000,239.0,286.0,266.0,79.0,False,MEDIUM,6.0,False,Aston Martin,0 days 00:38:50.710000,2025-04-05 02:53:51.736,1,,False,,False,False,,
153,0 days 00:48:54.316000,STR,18,0 days 00:02:20.925000,9.0,4.0,,,47.686,69.512,23.727,0 days 00:47:21.077000,0 days 00:48:30.589000,0 days 00:48:54.316000,212.0,205.0,267.0,134.0,False,MEDIUM,7.0,False,Aston Martin,0 days 00:46:33.391000,2025-04-05 03:01:34.417,1,,False,,False,True,140.925,140.925
154,0 days 00:50:49.432000,STR,18,0 days 00:01:55.116000,10.0,4.0,,,31.718,50.356,33.042,0 days 00:49:26.034000,0 days 00:50:16.390000,0 days 00:50:49.432000,284.0,152.0,214.0,167.0,False,MEDIUM,8.0,False,Aston Martin,0 days 00:48:54.316000,2025-04-05 03:03:55.342,1,,False,,False,True,115.116,115.116
